food_bank,postcode,website,city,county,Latitude,Longitude
Ablewell Advice (Black Country Food Bank),WS1 2EQ,https://www.blackcountryfoodbank.org.uk/,"Walsall, Maw Green",West Midlands,52.5853,-1.984
Action For Refugees In Lewisham,SE13 5ES,www.afril.org.uk,"Ladywell, Lewisham, Hither Green",Greater London,51.4643,-0.0119
Action Homeless,LE1 5FT,www.actionhomeless.org.uk,Leicester,Leicestershire,52.6386,-1.1317
Agapecare Foodbank,PE11 2XP,http://www.lighthousechurch.org.uk/,"Surfleet, Gosberton, Deeping St Nicholas, Donington, Surfleet Seas End, Spalding, Pinchbeck West, Pinchbeck, Westhorpe, Quadring, Pode Hole, Pinchbeck Bars, Quadring Eaudike, Northorpe, Little London, Risegate, Crossgate, Church End",Lincolnshire,52.837,-0.221272222
Al-Ikhlas Centre,CF24 1NH,alikhlas.org.uk,Cardiff,,51.48,-3.18
Albrighton Foodbank,WV7 3EQ,http://www.tenburyteam.co.uk/home-page.html,"Albrighton, Cosford, Shackerley, Boningale",Shropshire,52.6333,-2.274375
All Saints (Black Country Food Bank),WS10 9LA,https://www.blackcountryfoodbank.org.uk/,"Moxley, Wednesbury, King's Hill, Darlaston",West Midlands,52.559,-2.028425
Ardwick and Longsight Food Bank,M13 0LN,http://ardwickandlongsightfoodbank.org.uk/,Rusholm,Greater Manchester,53.4698,-2.2295
Ashton Churches Together (ACT) Food Bank,WN4 9NL,www.stthomasstluke.org.uk/ourtown/actfoodbank/,"Garswood, Ashton-in-Makerfield, Bryn",Merseyside,53.4888,-2.6574
Asylum Link Merseyside,L7 3HJ,www.asylumlink.org.uk/,Liverpool,Merseyside,53.4106,-2.9779
Axminster Health & Wellbeing Centre,EX135DZ,www.axminsterwellbeing.comÂ ,,,,
Aylesbury Vineyard Storehouse,HP19 8DN,https://aylesburyvineyard.church/storehouse,Aylesbury,Buckinghamshire,51.8167,-0.8146
Batley Food Bank,WF17 5DT,http://www.batleyfoodbank.org.uk,"Batley, Birstall Smithies",West Yorkshire,53.7029,-1.6337
Be Enriched,SW17 9NQ,www.be-enriched.org,"Tooting Graveney, Furzedown, Tooting Bec, Upper Tooting, Summerstown, Tooting Broadway",Greater London,51.4307,-0.1647
Berwick Community Trust,TD15 1JT,www.berwicktrust.org.uk,"Beal, Spittal, Bowsden, Berwick-upon-Tweed, Fenwick, Tweedmouth, East Ord, Thornton Park, Norham, Murton, Lowick, Goswick, Ford, Cheswick, Shoresdean, Scremerston, Ancroft, Longridge Towers, Duddo, West Allerdean, Lamberton, Thornton, Grindon, Holburn, Berrington, Upsettlington, Barmoor Lane End, Fishwick, Shoreswood, Clappers, Felkington, West Kyloe, Horncliffe, Mordington, Horndean, Ladykirk, Hutton, Paxton, Foulden",Northumberland,55.6721,-2.051723077
Bethnal Green Food Bank,E2 6DT,www.drescue.org,"Hackney, Bethnal Green, Tower Hamlets, Haggerston",Greater London,51.55,-0.055525
Bishop's Stortford Food Bank,CM23 3AZ,https://www.bsm-church.org.uk/foodbank.htm,"Birchanger, Farnham, Berden, Manuden, Spellbrook, Farnham Green, Thorley Street, Hazel End, Bishop's Stortford, Thorley",Essex,51.8837,0.15618
Black Country Food Bank,DY5 3EE,https://www.blackcountryfoodbank.org.uk/,"Brierley Hill, Woodside, Pensnett, Quarry Bank",West Midlands,52.4817,-2.119025
Blackpool Food Bank,FY3 9JJ,http://www.facebook.com/blackpoolfoodbank,"Great Marton, Staining, Normoss",Lancashire,53.8119,-3.0226
Booth Centre,M3 1FU,www.boothcentre.org.uk/,Manchester,Greater Manchester,53.4809,-2.2374
Bow Food Bank,E3 3AH,https://www.spacehive.com/bowfoodbank,"Mile End, Old Ford, Bow Road, Devons Road, Bow, Bromley by Bow, Bow Church",Greater London,51.525,-0.026571429
Brandlesholme Community Centre ,BL8 1HS,www.brandlesholme.com,"Greenmount, Tottington",Greater Manchester,53.6255,-2.33925
Brechin Community Pantry,DD9 6EE,https://www.facebook.com/BrechinCommunityPantry/,"Arnhall, Woodtown, The Burn, Inch, Tarfside, Gannochy, Edzell, Fernybank, Inchbare, Kirkton of Menmuir, Arrat, Careston, Brechin, Balnamoon, Stracathro, Farnell, West Muir, Templewood, Carcary, Mains of Balhall, Bridgend, Keithock, Glenlee, Auchronie, Dunlappie, Balfield, Belliehill, Mains of Melgund, Inchgrundle, Tigerton, Little Brechin, Trinity, Tillyarblet, Netherton, Middle Drums, Auchmull, Witton, Newtonmill, Mid Cairncross",Aberdeenshire,56.8,-2.668553846
Bridging the Gap (Black Country Food Bank),WV13 1RT,https://www.blackcountryfoodbank.org.uk/,Willenhall,West Midlands,52.6,-2.0333
