Category: All categories

City,flour: (5/5/19 - 5/5/20),milk: (5/5/19 - 5/5/20),Pasta: (5/5/19 - 5/5/20),rice: (5/5/19 - 5/5/20),meat: (5/5/19 - 5/5/20)
Bristol,12%,29%,25%,23%,11%
Sale,,,,,
Harrow,,,,,
Harpenden,,,,,
Twickenham,,,,,
Bromley,,,,,
Bathford,,,,,
Romford,,,,,
Gillingham,,,,,
Southend-on-Sea,,,,,
Stevenage,,,,,
Dartford,,,,,
Portsmouth,,,,,
Brighton,16%,28%,21%,23%,12%
Sutton,,,,,
Croydon,,,,,
High Wycombe,,,,,
Hayes,,,,,
Worthing,,,,,
Reading,,,,,
Ilford,14%,29%,17%,26%,14%
Hove,,,,,
Swindon,,,,,
Edgware,,,,,
Stoke-on-Trent,,,,,
Leicester,14%,31%,18%,24%,13%
Birmingham,13%,32%,17%,24%,14%
Hounslow,,,,,
Plymouth,,,,,
Poole,,,,,
Bletchley,,,,,
Bradford,,,,,
Hemel Hempstead,,,,,
Arnold,,,,,
Eastbourne,,,,,
Bolton,,,,,
Exeter,,,,,
Dagenham,,,,,
Peterborough,,,,,
Watford,,,,,
Crawley,,,,,
Totton,,,,,
Great Dunmow,,,,,
Ipswich,,,,,
York,,,,,
Luton,,,,,
Wick,,,,,
Norwich,,,,,
Sheffield,14%,30%,20%,24%,12%
Basingstoke,,,,,
Manchester,12%,29%,21%,24%,14%
Cardiff,12%,29%,22%,25%,12%
Derby,,,,,
Walsall,,,,,
Leeds,13%,30%,20%,24%,13%
Southampton,,,,,
Broughton Astley,,,,,
Bournemouth,,,,,
Liverpool,9%,28%,20%,30%,13%
Northampton,,,,,
Edinburgh,12%,29%,22%,25%,12%
Oxford,13%,29%,20%,24%,14%
Birkenhead,,,,,
Aberdeen,,,,,
Wolverhampton,,,,,
Nottingham,12%,30%,20%,26%,12%
London,11%,28%,22%,25%,14%
Newcastle upon Tyne,,,,,
Wythenshawe,8%,31%,22%,24%,15%
Coventry,,,,,
Cambridge,13%,27%,21%,25%,14%
Warrington,,,,,
Hambleton,,,,,
Huddersfield,,,,,
Wembley,,,,,
Glasgow,12%,29%,24%,24%,11%
Halesowen,10%,30%,20%,24%,16%
Sunderland,,,,,
Hull,,,,,
Salford,,,,,
Torquay,,,,,
Belfast,11%,30%,19%,26%,14%
Cumbernauld,,,,,
Gateshead,,,,,
Stockton-on-Tees,,,,,
