postcodes,latitude,longitude
AB10 1HW,57.1437,-2.0981
AB10 1QS,57.1437,-2.0981
AB10 1TS,57.1437,-2.0981
AB10 6BL,57.1437,-2.0981
AB10 6DA,57.1437,-2.0981
AB10 6PA,57.1437,-2.0981
AB10 6XL,57.1437,-2.0981
AB10 7AY,57.1437,-2.0981
AB10 7FP,57.1437,-2.0981
AB10 7QA,57.1437,-2.0981
AB11 6BB,57.1437,-2.0981
AB11 6BE,57.1437,-2.0981
AB11 6DB,57.1437,-2.0981
AB11 6NB,57.1437,-2.0981
AB11 9DT,57.1437,-2.0981
AB11 9NQ,57.1437,-2.0981
AB12 3DN,57.1437,-2.0981
AB12 3ZR,57.1437,-2.0981
AB12 4XP,57.1437,-2.0981
AB12 5BT,57.1437,-2.0981
AB14 0UQ,57.0993,-2.2659
AB15 5JB,57.1378,-2.1663
AB15 6HY,57.1378,-2.1663
AB15 6LT,57.1378,-2.1663
AB15 9SX,57.1378,-2.1663
AB16 5PY,57.16,-2.1567
AB16 7GD,57.16,-2.1567
AB16 7LL,57.16,-2.1567
AB21 0ET,57.2111,-2.2037
AB21 7DL,57.2111,-2.2037
AB21 7NG,57.2111,-2.2037
AB21 9LZ,57.2111,-2.2037
AB22 8HB,57.1865,-2.1214
AB22 8WQ,57.1865,-2.1214
AB24 1SA,57.1437,-2.0981
AB24 1XZ,57.1437,-2.0981
AB24 2AX,57.1437,-2.0981
AB24 3SE,57.1437,-2.0981
AB24 4HA,57.1437,-2.0981
AB24 5DA,57.1437,-2.0981
AB24 5EZ,57.1437,-2.0981
AB25 1EP,57.1437,-2.0981
AB25 1HZ,57.1437,-2.0981
AB25 1NX,57.1437,-2.0981
AB25 2YE,57.1437,-2.0981
AB25 3AD,57.1437,-2.0981
AB25 3SA,57.1437,-2.0981
AB25 3TB,57.1437,-2.0981
AB30 1AA,56.8513,-2.5582344827586216
AB31 5QA,57.1056,-2.545577586206897
AB31 5YR,57.1056,-2.545577586206897
AB32 6TJ,57.1528,-2.3623947368421057
AB32 6UF,57.1528,-2.3623947368421057
AB32 6UL,57.1528,-2.3623947368421057
AB34 4YL,57.0859,-2.8258000000000005
AB36 8UL,57.2167,-3.0663600000000004
AB39 2BJ,56.9773,-2.2184
AB39 2BU,56.9773,-2.2184
AB39 3PX,56.9773,-2.2184
AB41 7GX,57.35,-2.1999307692307712
AB41 9AZ,57.35,-2.1999307692307712
AB41 9RY,57.35,-2.1999307692307712
AB42 1HH,57.55,-1.9248257142857157
AB42 1PL,57.55,-1.9248257142857157
AB42 1PR,57.55,-1.9248257142857157
AB42 1RG,57.55,-1.9248257142857157
AB42 1ZP,57.55,-1.9248257142857157
AB42 2FY,57.55,-1.9248257142857157
AB42 2XX,57.55,-1.9248257142857157
AB42 4NH,57.55,-1.9248257142857157
AB42 4XL,57.55,-1.9248257142857157
AB42 5EH,57.55,-1.9248257142857157
AB42 5EL,57.55,-1.9248257142857157
AB42 5HN,57.55,-1.9248257142857157
AB42 7AU,57.55,-1.9248257142857157
AB43 7ED,57.6014,-2.04688409090909
AB43 7JQ,57.6014,-2.04688409090909
AB43 8TJ,57.6014,-2.04688409090909
AB43 8YJ,57.6014,-2.04688409090909
AB43 9ET,57.6014,-2.04688409090909
AB43 9NT,57.6014,-2.04688409090909
AB43 9TA,57.6014,-2.04688409090909
AB43 9TE,57.6014,-2.04688409090909
AB45 1AF,57.672,-2.5264069767441844
AB45 3YJ,57.672,-2.5264069767441844
AB51 0GZ,57.2267,-2.442275000000002
AB51 4JP,57.2267,-2.442275000000002
AB51 4RJ,57.2267,-2.442275000000002
AB51 4SR,57.2267,-2.442275000000002
AB53 4EN,57.5585,-2.390117741935485
AB54 6JB,57.4667,-2.8134418604651135
AB54 8SX,57.4667,-2.8134418604651135
AB54 8TS,57.4667,-2.8134418604651135
AB55 5BL,57.4458,-3.1441000000000012
AB55 5HB,57.4458,-3.1441000000000012
AB56 1EJ,57.6333,-2.9219214285714297
AB56 1PJ,57.6333,-2.9219214285714297
AB56 4AD,57.6333,-2.9219214285714297
AB56 4LN,57.6333,-2.9219214285714297
AL1 2JZ,51.75,-0.3333
AL1 2PD,51.75,-0.3333
AL1 2QU,51.75,-0.3333
AL1 2RJ,51.75,-0.3333
AL1 3DU,51.75,-0.3333
AL1 4AP,51.75,-0.3333
AL1 4JL,51.75,-0.3333
AL1 4JS,51.75,-0.3333
AL1 4SU,51.75,-0.3333
AL1 4SY,51.75,-0.3333
AL1 4UZ,51.75,-0.3333
AL1 5PX,51.75,-0.3333
AL10 0JP,51.7634,-0.2242
AL10 0QN,51.7634,-0.2242
AL10 9HE,51.7634,-0.2242
AL2 1AB,51.7167,-0.3149
AL2 1JQ,51.7167,-0.3149
AL2 1RR,51.7167,-0.3149
AL2 2RA,51.7167,-0.3149
AL3 4JZ,51.799,-0.4184000000000001
AL3 5AS,51.799,-0.4184000000000001
AL3 5EH,51.799,-0.4184000000000001
AL3 6DL,51.799,-0.4184000000000001
