postcodes,latitude,longitude
AB10 1HW,57.1477856,-2.0980022
AB10 1QS,57.1452012,-2.1057127
AB10 1TS,57.143247,-2.1113254
AB10 6BL,57.1381063,-2.1139866
AB10 6DA,57.1388786,-2.1143029
AB10 6PA,57.1303648,-2.1388896
AB10 6XL,57.1399553,-2.1250462
AB10 7AY,57.1201661,-2.1245996
AB10 7FP,57.1354195,-2.114953
AB10 7QA,57.1246228,-2.1234089
AB11 6BB,57.1451495,-2.1031015
AB11 6BE,57.1453491,-2.1006563
AB11 6DB,57.1430499,-2.1106969
AB11 6NB,57.1449112,-2.0977797
AB11 9DT,57.1374894,-2.0880947
AB11 9NQ,57.1368756,-2.0790063
AB12 3DN,57.1302985,-2.0942556
AB12 3ZR,57.1277049,-2.0908299
AB12 4XP,57.063341,-2.1397106
AB12 5BT,57.1208596,-2.1027531
AB14 0UQ,57.0966524,-2.270299
AB15 5JB,57.1498336,-2.128005
AB15 6HY,57.1517889,-2.1617131
AB15 6LT,57.150113,-2.1723
AB15 9SX,57.117318,-2.1771839
AB16 5PY,57.156038,-2.1616159
AB16 7GD,57.172303,-2.145266
AB16 7LL,57.1659366,-2.1621222
AB21 0ET,57.1987801,-2.1867262
AB21 7DL,57.208586,-2.1890602
AB21 7NG,57.2044188,-2.1761284
AB21 9LZ,57.179202,-2.1772157
AB22 8HB,57.1800144,-2.1463542
AB22 8WQ,57.1910984,-2.1220756
AB24 1SA,57.1680253,-2.096733
AB24 1XZ,57.1734355,-2.0934396
AB24 2AX,57.1703375,-2.1232969
AB24 3SE,57.1670811,-2.0979872
AB24 4HA,57.1668429,-2.1235002
AB24 5DA,57.1522341,-2.095419
AB24 5EZ,57.1529247,-2.0844456
AB25 1EP,57.1520746,-2.1039638
AB25 1HZ,57.1489877,-2.1000382
AB25 1NX,57.1490421,-2.1101199
AB25 2YE,57.1499904,-2.1145025
AB25 3AD,57.1591854,-2.1183498
AB25 3SA,57.1580486,-2.114015
AB25 3TB,57.1541219,-2.1050109
AB30 1AA,56.8339577,-2.464241
AB31 5QA,57.0605424,-2.4677594
