region,intercept,resilience_coefficient,recovery_coefficient,food_safety_stock_coefficient,scenario_Full_lockdown,scenario_Partial_lockdown,scenario_Full_reopening
All,88.2,-0.01666,-0.01904,-0.6885,1,0,0
All,47.7,-0.00045,-0.0093,-0.015,0,1,0
All,66.6,-0.0013,-0.002533333333333,-0.085,0,0,1
Scotland,33.3,-0.00255,-0.017,-0.6035,1,0,0
Scotland,11.7,-0.0009,-0.018,-0.09,0,1,0
Scotland,26.1,-0.0001,-0.001266666666667,-0.116666666666667,0,0,1
Northern Ireland,43.2,-0.01445,-0.02618,-0.3995,1,0,0
Northern Ireland,56.7,-0.01335,-0.0138,-0.48,0,1,0
Northern Ireland,68.4,-0.001833333333333,-0.0054,-0.036666666666667,0,0,1
Wales,14.4,-0.00629,-0.0119,-0.3655,1,0,0
Wales,17.1,-0.00795,-0.0006,-0.6,0,1,0
Wales,9.9,-0.000666666666667,-0.001,-0.103333333333333,0,0,1
North East,83.7,-0.0153,-0.01802,-0.731,1,0,0
North East,32.4,-0.01215,-0.0063,-0.195,0,1,0
North East,54,-0.002533333333333,-0.0024,-0.156666666666667,0,0,1
North West,38.7,-0.00204,-0.01802,-0.1955,1,0,0
North West,61.2,-0.00555,-0.0159,-0.0375,0,1,0
North West,27,-0.0012,-0.002133333333333,-0.051666666666667,0,0,1
Yorkshire and the Humber,60.3,-0.00952,-0.02482,-0.6375,1,0,0
Yorkshire and the Humber,57.6,-0.0102,-0.0183,-0.6975,0,1,0
Yorkshire and the Humber,86.4,-0.002033333333333,-0.003866666666667,-0.083333333333333,0,0,1
West Midlands,72,-0.01241,-0.02108,-0.2465,1,0,0
West Midlands,16.2,-0.01305,-0.0093,-0.675,0,1,0
West Midlands,69.3,-0.000733333333333,-0.001,-0.125,0,0,1
East Midlands,54,-0.00595,-0.017,-0.0255,1,0,0
East Midlands,90,-0.0018,-0.0243,-0.27,0,1,0
East Midlands,34.2,-0.002233333333333,-0.003666666666667,-0.046666666666667,0,0,1
South West,70.2,-0.01564,-0.0136,-0.7225,1,0,0
South West,68.4,-0.00075,-0.0267,-0.57,0,1,0
South West,0.9,-0.002933333333333,-0.003866666666667,-0.155,0,0,1
South East,2.7,-0.00663,-0.00238,-0.085,1,0,0
South East,71.1,-0.00165,-0.0207,-0.4275,0,1,0
South East,52.2,-0.000366666666667,-0.002466666666667,-0.096666666666667,0,0,1
East of England,72.9,-0.01088,-0.00816,-0.4505,1,0,0
East of England,11.7,-0.0039,-0.0132,-0.5775,0,1,0
East of England,16.2,-0.0015,-0.004533333333333,-0.126666666666667,0,0,1
Greater London,37.8,-0.00357,-0.01768,-0.5185,1,0,0
Greater London,79.2,-0.00585,-0.0279,-0.6225,0,1,0
Greater London,48.6,-0.002766666666667,-0.004333333333333,-0.076666666666667,0,0,1
