Category: All categories

City,flour: (1/1/04 - 5/5/20),milk: (1/1/04 - 5/5/20),Pasta: (1/1/04 - 5/5/20),rice: (1/1/04 - 5/5/20),meat: (1/1/04 - 5/5/20)
Hove,,,,,
Bromley,,,,,
Romford,,,,,
Twickenham,,,,,
Broughton Astley,,,,,
Hayes,,,,,
Sutton,,,,,
Worthing,,,,,
Edgware,,,,,
Chagford,,,,,
Ilford,,,,,
Swindon,,,,,
Great Dunmow,,,,,
Bathford,,,,,
Hambleton,,,,,
Hounslow,,,,,
Southend-on-Sea,,,,,
Wythenshawe,,,,,
Torquay,,,,,
Dartford,,,,,
Bristol,9%,32%,21%,24%,14%
Hemel Hempstead,,,,,
Halesowen,8%,33%,19%,24%,16%
Basildon,,,,,
Crawley,,,,,
Birkenhead,,,,,
Plymouth,9%,33%,21%,22%,15%
Poole,,,,,
Bournemouth,9%,32%,21%,24%,14%
Warrington,,,,,
Brighton,9%,31%,20%,24%,16%
Ipswich,,,,,
Norwich,9%,33%,19%,24%,15%
Walsall,,,,,
Cardiff,8%,34%,19%,24%,15%
Derby,8%,35%,18%,23%,16%
Portsmouth,8%,32%,19%,25%,16%
Stockton-on-Tees,,,,,
Exeter,,,,,
Worcester,,,,,
Stoke-on-Trent,,,,,
Wembley,,,,,
Hinckley,,,,,
Oxford,8%,31%,20%,26%,15%
Southampton,8%,33%,20%,24%,15%
Coventry,,,,,
Sunderland,,,,,
Croydon,8%,34%,18%,25%,15%
Peterborough,,,,,
York,9%,31%,20%,24%,16%
Clayton-le-Woods,,,,,
Guildford,,,,,
Bradford,,,,,
Northampton,,,,,
Leicester,9%,34%,17%,24%,16%
Liverpool,7%,31%,17%,30%,15%
Stockport,,,,,
Leeds,8%,32%,19%,24%,17%
Luton,,,,,
Glasgow,8%,32%,21%,25%,14%
Belfast,7%,34%,18%,26%,15%
Huddersfield,,,,,
Cambridge,9%,30%,20%,26%,15%
Dundee,,,,,
Nazeing,,,,,
Hull,,,,,
Newcastle upon Tyne,8%,31%,20%,25%,16%
London,8%,32%,20%,24%,16%
Bolton,,,,,
Nottingham,8%,32%,19%,25%,16%
Aberdeen,8%,31%,19%,28%,14%
Gateshead,,,,,
Mansfield,,,,,
Farnborough,,,,,
Inverness,,,,,
Salford,,,,,
Edinburgh,9%,32%,20%,25%,14%
Reading,8%,34%,18%,25%,15%
Middlesbrough,,,,,
Gloucester,,,,,
Birmingham,8%,33%,17%,25%,17%
Sheffield,8%,32%,19%,25%,16%
Wolverhampton,,,,,
Manchester,7%,32%,18%,26%,17%
Watford,,,,,
Preston,,,,,
Milton Keynes,,,,,
Bletchley,,,,,
Thames Ditton,,,,,
Brentford,7%,33%,17%,25%,18%
